PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,AllPicturesZIP,DeliveryPlant
1012599,37409,J0000DL000529,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein J0000DL000529,29.87,24.69,14.81,8434579003322,5,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1684,112,203,488,17,https://api.mybihr.com/medias/1012599-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0OTB8aW1hZ2UvanBlZ3xhR1prTDJoaFppOHhOVFF5TURRd01qUTJOamcwTmk4eE1ERXlOVGs1TFRGZk9EQXdWM2c0TURCSXw4MjM4MzM2NDcyOGQyYzA3ZDA3OTZjZDhmZjRmYWJkY2RiYzQxMTA2MzdhY2M1NTIxMjU3YmE1ZGU4OGU4ZGNk,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012608,43378,J0000HN000266,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein J0000HN000266 Honda PX 50,18.55,15.33,9.20,J0000HN000266,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1641,52,208,343,23,https://api.mybihr.com/medias/1012608-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhR0UxTDJoalppOHhOVFF5TURReU9UTXpOall3Tmk4eE1ERXlOakE0TFRGZk9EQXdWM2c0TURCSXw4NGFjZTJmYWU4YmUxMGJhOWJkMzU2NTliNWE1N2JkMDg1ZTVhNGZmZTMzZGVhZjU0Yzk2ZWUwOTdlMTFhY2I2,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012748,37633,J0000SZ000716,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein J0000SZ000716,96.32,79.60,47.76,8434579003926,0,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1104,136,214,344,15,https://api.mybihr.com/medias/1012748-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0OTB8aW1hZ2UvanBlZ3xhRFEwTDJnNE9TOHhOVFF5TURZek1qWXlPVEkzT0M4eE1ERXlOelE0TFRGZk9EQXdWM2c0TURCSXw3NTBhOTk4OTNhOTIxOWRlYTU5ZmVmNzdjMmJlODM5ODM4OWI5MmZhNTJmYzUyMTc4YjAzODNkMGU5YmJjYmFh,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012769,37483,J0000PT000660,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein Jet Force 125,50.99,42.14,25.28,8434579003698,0,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1,100,10,10,10,https://api.mybihr.com/medias/1012769-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0OTB8aW1hZ2UvanBlZ3xhRE0xTDJobE55OHhOVFF5TURReE1UVXhNRGd4TkM4eE1ERXlOelk1TFRGZk9EQXdWM2c0TURCSXw0NjYzMjBjNjQ3ODMxMmFiMTVkZTk2ZDExYzQ4ZTdhYzlmZTgzZTllMDdkMzZlZGJhMTk4OTFkMDVjODBjZWI2,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012743,43458,J0000SX000094,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein J0000SX000094 Solex VELOSOLEX,20.09,16.60,9.96,8434579000116,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,122,16,113,98,11,https://api.mybihr.com/medias/1012743-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhRGRqTDJoaE1DOHhOVFF5TURZek1EVTVOelkyTWk4eE1ERXlOelF6TFRGZk9EQXdWM2c0TURCSXwxMGRkMzBkNTNkZWQ2Y2RiM2UzOThiZDhjMzBjZjU0YjY0MmE3NTI4MDAwZTExNzA0MmMwMWRjYjY5N2NhY2Zm,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012659,43407,J0000MT000160,ARTEIN,ARTEI GASKET COMPLETE SET,"Kit completo juntas de motor Artein J0000MT000160 Montesa COTA 247, KING SCORPION 250",43.78,36.18,21.71,8434579000673,0,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,674,94,208,360,9,https://api.mybihr.com/medias/1012659-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhREZqTDJnMU5DOHhOVFF5TURRd05qTTVPVEF3Tmk4eE1ERXlOalU1TFRGZk9EQXdWM2c0TURCSXwzOGIyMTUzMmU0YWQ4MmI1MGVkNDI0MjQ1YzAwNjg3ODc2M2Y5ODUzMGY4ODhkZGM0MTNhMWViNjgxNjg5MzQw,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012734,43453,J0000SG000743,ARTEIN,ARTEI GASKET COMPLETE SET,"Kit completo juntas de motor Artein J0000SG000743 Sanglas 400 E, 400 F, 500S",76.74,63.42,38.05,8434579004176,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,2904,160,305,476,20,https://api.mybihr.com/medias/1012734-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhR1ptTDJoaVpTOHhOVFF5TURZeU56ZzBOVEUxTUM4eE1ERXlOek0wTFRGZk9EQXdWM2c0TURCSXwxZmM5NTJjNDViNmI3YjhhZDY1YWVkOWM3Njc5OTMwNzE5NTRmNDBiMzc5MDk5YWM2NjU4NjEyN2NlOGY3MDVi,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012752,37637,J0000SZ000725,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein J0000SZ000725,169.44,140.03,84.02,8434579004015,0,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1,100,10,10,10,https://api.mybihr.com/medias/1012752-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0OTB8aW1hZ2UvanBlZ3xhRFpsTDJnell5OHhOVFF5TURZek5ESXdNakUwTWk4eE1ERXlOelV5TFRGZk9EQXdWM2c0TURCSXw2NTczZGJiMzljNjI5Mzc2ZTE4MWJjNzUxZDZkMTE5NmZmOGQ5OTJkNTQ2MjdlYjY4NjRiY2QyYzU4YjM5YmYy,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012629,43396,J0000IS000097,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein J0000IS000097 Iso Tipo 125 cc,54.09,44.70,26.82,8434579000147,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1521,80,216,352,20,https://api.mybihr.com/medias/1012629-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhREUwTDJnd01TOHhOVFF5TURVMk5UYzRNalUxT0M4eE1ERXlOakk1TFRGZk9EQXdWM2c0TURCSXw4NDU2MGE5YzAwNWQwNGRlOTczMTMyODA2ZjAwNTcwNWM4NjBiZWE1NmZhZmJiNDA2Zjg3NmY2ZDg5OTk3ODAy,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012554,43333,J0000BL000103,ARTEIN,ARTEI GASKET COMPLETE SET,"Kit completo juntas de motor Artein J0000BL000103 Bultaco ALPINA 350 Azul, SHERPA 350 Moderna",59.75,49.38,29.63,8434579000208,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1311,132,249,351,15,https://api.mybihr.com/medias/1012554-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhR1V5TDJnMU9DOHhOVFF5TURVek56UTNNVEF3Tmk4eE1ERXlOVFUwTFRGZk9EQXdWM2c0TURCSXwzMTAwNDI4ODdkMWI4ZTJmYTdmZjVhN2VlZDY2NDJmM2RhMDNmMzFjNjY0YjRkYjAwODQxN2Q1M2NjNDMzODBi,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
