PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,AllPicturesZIP,DeliveryPlant
1009482,KED98,N424-25B98,KEIHIN,KEIHI JET IDLE 98MM,Chiclé de baja KEIHIN 98,3.50,2.89,1.88,N424-25B98,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,10,20,10,10,https://api.mybihr.com/medias/1009482-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3NzV8aW1hZ2UvanBlZ3xhR014TDJnMU1DODRPVE00T0RnM01EZzJNVEV3THpFd01EazBPREl0TVY4NE1EQlhlRGd3TUVnfDVlYjc2MTIzNmRiNDVhNmQ5ZDNlZWJhMWFmMGZiYzNlNTcwZTlhMDNiMDdjOTllYTI4YWEwOThlOTU5NjBiM2E,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009205,KEG128,1000-806-128,KEIHIN,KEIHI JET MAIN 128MM,Chiclé de alta Keihin 128,3.50,2.89,1.88,1000-806-128,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009205-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ1NDF8aW1hZ2UvanBlZ3xhREJpTDJnNE9TODRPRGN6TXpNMk5UQTBNelV3THpFd01Ea3lNRFV0TVY4NE1EQlhlRGd3TUVnfGM2MzBkZTIwZDdhZjVhZjhmN2JmOTdmYWU4NDQ1YzFmMTk2YmE1MzhhY2YyZWEzMTkyYjIxOWY0ODRlMzY0NWU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009242,KEN112,99101-124-112,KEIHIN,KEIHI JET 112MM,Chiclé Keihin 99101-124-112,5.00,4.13,0.38,99101-124-112,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009242-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjM3OTJ8aW1hZ2UvanBlZ3xhRFpsTDJobU5pODRPVE00TXpnd016STRPVGt3THpFd01Ea3lOREl0TVY4NE1EQlhlRGd3TUVnfGQ4MzUyNzIxZWQ5Zjk4OWVkNjE2MmE1MTAyNmQyNDlmMWFjYjE3OWRiNTM3NmEyZDUxMzQ3NzcwNzVkNDRmYjQ,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009530,KEV62,N424-35062,KEIHIN,KEIHI JET IDLE 62MM,Chiclé de baja Keihin N424-35-62,3.50,2.89,1.88,N424-35-62,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009530-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3MzV8aW1hZ2UvanBlZ3xhR1ZsTDJoaU5TODRPVFk0T0RZd05EWTNNak13THpFd01EazFNekF0TVY4NE1EQlhlRGd3TUVnfDljYzc3MGZhOTIzYjk2NzJiN2ZmZTI1MDkzYjQxZmExZTgxMWU2ZmNiN2M2ZTkwYzE4MWI3NGY0Njg5MWIwODg,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009265,KEN82,99101-124-82,KEIHIN,KEIHI JET 82MM,Chiclé Keihin 99101-124-82,5.00,4.13,2.68,99101-124-82,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009265-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjM3OTJ8aW1hZ2UvanBlZ3xhRFU0TDJoak5DODRPVFk0T0RVeU56azVOVEU0THpFd01Ea3lOalV0TVY4NE1EQlhlRGd3TUVnfGMzZjRiYTc3ODkyMDE4Y2Q2ODY4OTk4ZWQyNTQ3NDdmYzM0ZTU4NDM4ZGMwMDhiZjE1Nzg0YzcwYzk0MWNkOTU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009266,KEN85,99101-124-85,KEIHIN,KEIHI JET 85MM,Chiclé Keihin 99101-124-85,5.00,4.13,0.38,99101-124-85,2,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009266-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjM3OTJ8aW1hZ2UvanBlZ3xhREk1TDJoallpODRPVFk0T0RVeU9UazJNVEkyTHpFd01Ea3lOall0TVY4NE1EQlhlRGd3TUVnfDQ5MWMzNzM4OTJmODQyNTg2NWJkZDczYjFlMzViY2RmZmNhNGYxY2MzMDRhMDk0NTAyZGZkMDViZWU4OTQ1MzE,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106395,,N424-35058,KEIHIN,KEIHI JET IDLE 58MM,Chiclé de baja KEIHIN N424-35-58,9.08,7.50,4.50,KEV58,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,10,20,20,20,https://api.mybihr.com/medias/1009528-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3MzV8aW1hZ2UvanBlZ3xhRFl4TDJoaE9DODRPVFk0T0RZd01EYzBNREUwTHpFd01EazFNamd0TVY4NE1EQlhlRGd3TUVnfDc5YzgzYWFiM2ZmYmQ0NTk2ZDRkZGEyODdmNTQ5YmJjMTY4NWRiNmYzYjI4N2Q4MjE2ZjdiMTA4YjM5MDJhYTk,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106327,,N424-22070,KEIHIN,KEIHI JET IDLE 70MM,Chiclé de baja KEIHIN N424-22-70,9.08,7.50,4.50,1106327,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,50,20,20,20,https://api.mybihr.com/medias/1009437-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjIyMTN8aW1hZ2UvanBlZ3xhR0psTDJnMVpTODRPVE0wT0Rjd01qSXdPRE13THpFd01EazBNemN0TVY4NE1EQlhlRGd3TUVnfDllMDdjOWZkNDhkMDE2MjUwMzRhYTA3MGIxYTM2ZGVlOGQ4MWI5OWM5ZGZlOTllMmJhYjE3MDc2MWJiOTI0NTI,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114380,,N427-48EDN,KEIHIN,KEIHI NEEDLE PWK/PJ/PWM,Aguja de carburador Carburador KEIHIN PWK/PJ/PWM 48EDN,13.10,10.83,6.50,D300CRB52644,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114362,,N427-46JJE,KEIHIN,KEIHI NEEDLE PE/PWK 26/28,Aguja de carburador KEIHIN PE-PWK 26-28 JJE,13.10,10.83,6.50,D300CRB52410,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
