PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,Document2,DeliveryPlant
1009914,MKA370,4/042-370,MIKUNI,MIKUN JET MKA 370MM,Chiclé de alta Mikuni 4/042-370,8.47,7.00,4.55,4/042-370,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,4,5,16,16,16,https://api.mybihr.com/medias/1009914-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA5MzV8aW1hZ2UvanBlZ3xhRGxqTDJnelpDODVNREV5TkRVM05qWTROak00THpFd01EazVNVFF0TVY4NE1EQlhlRGd3TUVnfDU2NTIzZWJlMzVkZWQxOTU0ZWVhZjdkODgwNDMwYzMzN2Q4ZDg0ZDcxNWNiNTE4ZDdkNjU5OTdjNGQzODkwOTI,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009915,MKA380,4/042-380,MIKUNI,MIKUN JET MKA 380MM,Chiclé de alta Mikuni 4/042-380,8.47,7.00,4.55,4/042-380,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,105,20,20,20,https://api.mybihr.com/medias/1009915-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1ODd8aW1hZ2UvanBlZ3xhRFprTDJnME5DODVNREV5TkRVM09EWTFNalEyTHpFd01EazVNVFV0TVY4NE1EQlhlRGd3TUVnfGM5ZjA3MzZmNzI4YjRmMDU0YjJjNzdlYzQ1MmUwYTNlZDcyYWFmYmYzMDQ0ZmE5NDg5ZGI3ODlhMDg3YWQ2ZmU,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009916,MKA390,4/042-390,MIKUNI,MIKUN JET MKA 390MM,Chiclé de alta Mikuni 4/042-390,8.47,7.00,4.55,4/042-390,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,4,5,16,16,16,https://api.mybihr.com/medias/1009916-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1ODd8aW1hZ2UvanBlZ3xhR1U0TDJnNU1pODVNREV5TkRVNE1EWXhPRFUwTHpFd01EazVNVFl0TVY4NE1EQlhlRGd3TUVnfDI2ZGQwODc1NGIwZTE1ZjBiYmY1OGFiOTM5MmUwYTIxNjNlYzljMTEyYTRhNDVmMjgyMGVmZTY1YTFkYWVlNGQ,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009918,MKA410,4/042-410,MIKUNI,MIKUN JET MKA 410MM,Chiclé de alta Mikuni 4/042-410,8.47,7.00,4.55,4/042-410,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,4,10,26,20,8,https://api.mybihr.com/medias/1009918-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1ODd8aW1hZ2UvanBlZ3xhR0UxTDJnNU9TODVNREV5TkRVNE1qVTRORFl5THpFd01EazVNVGd0TVY4NE1EQlhlRGd3TUVnfDA5Mjg1ZTk3ODcyMzAyODQ2MjEwZDczODM0ODViOTcxODZmNWRhZGU3YzIyNDVkMWQ3ZDAwZTE0NmNiYzM5NWI,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010639,825022,786-35015-2.5,MIKUNI,"MIKUN SPAREPARTS NEEDLE VALVE KIT 2,5",Válvula de aguja carburador Mikuni 2.5 SBN34-46,31.46,26.00,16.90,786-35015-2.5,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,10,9,10,15,https://api.mybihr.com/medias/1010639-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzkwNzh8aW1hZ2UvanBlZ3xhR0V4TDJneVpTODRPVFE1TURNek16WTVOak13THpFd01UQTJNemt0TVY4NE1EQlhlRGd3TUVnfGZkOGNiNDllZjdmY2E5MTdhM2RiZDA2NWYwN2RiNTM1NjYxMjIxYTZkNDNhODM5N2JlMzdkMzQ4YWU5MmQ3YmY,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009952,MKM37.5,BS30/96-037.5,MIKUNI,"MIKUN JET MKM 37,5MM",Chiclé de baja Mikuni BS30/96-037.5,9.68,8.00,5.20,BS30/96-037.5,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009952-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjU1MjJ8aW1hZ2UvanBlZ3xhRGN4TDJnMlpDODRPVFV6TURreE16VTROelV3THpFd01EazVOVEl0TVY4NE1EQlhlRGd3TUVnfGExNzAyODFkY2MwNmNlNzY3NDhkOWY5ZThhNGI1NmUwMmI1ZGE4NTE0ZGU3MWJkMDVkOWE1M2FkN2QyMzZkNDA,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009953,MKM40,BS30/96-040,MIKUNI,MIKUN JET MKM 40MM,Chiclé de baja Mikuni BS30/96-040,9.68,8.00,5.20,BS30/96-040,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,5,20,10,10,https://api.mybihr.com/medias/1009953-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjU1MjJ8aW1hZ2UvanBlZ3xhR1l3TDJnM05pODRPRFUyTnpFMU1EQXhPRGcyTHpFd01EazVOVE10TVY4NE1EQlhlRGd3TUVnfGVjODRkZmQ1NjhiNmVlMWY5MDQ4NzIzZjZlNDczMGE3NjQ2YzUwNDkzZjA3MTM5OWU4NzIyMjc4Y2Y1M2M0YjM,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009955,MKM45,BS30/96-045,MIKUNI,MIKUN JET MKM 45MM,Chiclé de baja Mikuni BS30/96-045,9.68,8.00,5.20,BS30/96-045,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,20,20,10,10,https://api.mybihr.com/medias/1009955-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjU1MjJ8aW1hZ2UvanBlZ3xhR0pqTDJnNFppODRPRFUyTnpFMU56ZzRNekU0THpFd01EazVOVFV0TVY4NE1EQlhlRGd3TUVnfDA1MmQwMzUyYzQ1MzU4NzkxY2M3ZmJjODE3M2IyM2MxYjg0NDQ4ZDQ0MDQyNTg0ZTU1NGI1MDVmMjFhMjRkZDc,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009880,MKA115,4/042-115,MIKUNI,MIKUN JET MKA 115MM,Chiclé de alta Mikuni 4/042-115,8.47,7.00,4.55,4/042-115,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,14,19,16,5,https://api.mybihr.com/medias/1009880-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1ODd8aW1hZ2UvanBlZ3xhRGcxTDJoalpDODRPVFk0T0RZMU5qUTBOVGMwTHpFd01EazRPREF0TVY4NE1EQlhlRGd3TUVnfGZlZDJhYzFiNDc1NTZmNTA1ZmNkNmI0ZGFmOTA2MjNjM2NjMDcwNTdjMWE4ODUyNzAxNjhiNDQ1M2ZkZjQwNTQ,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009935,MKA600,4/042-600,MIKUNI,MIKUN JET MKA 600MM,Chiclé de alta Mikuni 4/042-600,8.47,7.00,4.55,4/042-600,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,https://api.mybihr.com/medias/1009935-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1ODd8aW1hZ2UvanBlZ3xhR1l5TDJobVlTODRPVEkyTXpnM09EazJNelV3THpFd01EazVNelV0TVY4NE1EQlhlRGd3TUVnfDZjZDc5MWM3NDBmOTE4OGZjZmU5NzVkZDc4ZDRmMTk0MzFlMmM3ZjFlNjMxMDExODVmNmM1MWVkMWIyOTgyNmI,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
